lang/values;0_breakGuid;1_stemmGuid;2_isEuroTalk;3_isLingea;4_isGoethe;5_sqlQuery;6_lcid;7_isGoogleTrans
pt-PT;{C4BF21DA-F1E5-4c7f-A611-2698645B19EF}/NaturalLanguage6.dll;{7AE7416D-AD97-4a4b-B5AC-B3CA7865AFBE}/NaturalLanguage6.dll;1;1;1;1;2070;
qu-PE;;;1;;;;3179;
ro-RO;{D0458F37-2228-4fc7-9E66-34133DF4C929}/NaturalLanguage6.dll;{610133F4-ED38-42e7-9C18-EB2A8F76B99A}/NaturalLanguage6.dll;1;1;1;1;1048;ro
ru-RU;{AAA3D3BD-6DE7-4317-91A0-D25E7D3BABC3}/MsWb7.dll;{D42C8B70-ADEB-4B81-A52F-C09F24F77DFA}/MsWb7.dll;1;1;1;1;1049;ru
sd-PK;;;;;;;2137;sd
si-LK;;;;;;;1115;si
sk-SK;{2652B813-2260-4ef3-A311-74A7AC6513D7}/NaturalLanguage6.dll;{FBA89535-BFAB-4ef7-804C-109186BF507B}/NaturalLanguage6.dll;1;1;1;1;1051;sk
sl-SI;{8A899610-150A-40db-B57A-940EDB3203CE}/NaturalLanguage6.dll;{022B358F-06B8-4e0d-ADD9-655A8F1E9EDD}/NaturalLanguage6.dll;1;1;1;1;1060;sl
sm-WS;;;;;;;4096;sm
sn-ZW;;;;;;;4096;sn
so-SO;;;;;;;1143;so
sq-AL;;;1;;1;;1052;sq
sr-Cyrl;{C28DA8E5-39C2-4f62-82FA-C61D39A196DF}/NaturalLanguage6.dll;{49C69FAB-ED5E-4d48-9A65-E4816E5FE642}/NaturalLanguage6.dll;;;;1;27674;sr
sr-Latn;{EE38A9FC-437F-4d03-A593-BB92AF0D153C}/NaturalLanguage6.dll;{212ADF89-1F86-49d0-914A-DF6C5613C81E}/NaturalLanguage6.dll;1;1;1;1;28698;
st-ZA;;;;;;;1072;st
su-ID;;;;;;;4096;su
sv-SE;{2CB861BB-B1B4-4e14-A1A7-D3FB30C3F5CF}/NaturalLanguage6.dll;{61DBD86A-8D1A-4eb0-907C-E4C1BBC8F09A}/NaturalLanguage6.dll;1;1;1;1;1053;sv
sw-TZ;;;1;;;;4096;sw
ta-IN;{6C53A912-47C6-4959-B342-DF6C9DA9D494}/NaturalLanguage6.dll;{1E69A8EB-0B11-40c3-AC27-906ED77CD946}/NaturalLanguage6.dll;;;1;1;1097;ta
te-IN;{136E0057-D7ED-4b85-9F62-1318CFE1573B}/NaturalLanguage6.dll;{530CC6A4-357F-49e2-AB11-3C481DBEDE31}/NaturalLanguage6.dll;;;1;1;1098;te
tg-TJ;;;;;;;1064;tg
th-TH;{F70C0935-6E9F-4EF1-9F06-7876536DB900}/MsWb7001e.dll;;1;;1;1;1054;th
tn-ZA;;;1;;;;1074;
tr-TR;{54A12380-E78E-4980-BD96-2EF7076B5BB0}/MsWb7.dll;;1;1;1;1;1055;tr
uk-UA;{773229CD-D53C-4211-ACD8-8F2C7BF2AE7C}/NaturalLanguage6.dll;{D9581C03-9766-45a6-B970-1EABBE985986}/NaturalLanguage6.dll;1;1;1;1;1058;uk
ur-PK;{F3AEB884-58C8-40cf-AED3-E7EEFFFAA04A}/NaturalLanguage6.dll;{776266FF-0DC5-4f45-BADA-39A7586FACE2}/NaturalLanguage6.dll;1;;1;1;1056;ur
uz-Latn;;;1;;;;31811;uz
vi-VN;{70878DCD-56F6-4681-BC52-BC7F58EDF723}/NaturalLanguage6.dll;{FD339D76-EA3E-435f-AC29-3FFCE55EB35B}/NaturalLanguage6.dll;1;1;1;1;1066;vi
xh-ZA;;;1;;;;1076;xh
yi-001;;;;;;;1085;yi
yo-NG;;;1;;;;1130;yo
zh-Hans;{E0831C90-BAB0-4ca5-B9BD-EA254B538DAC}/MsWb70804.dll;;1;1;1;1;4;zh-CN
zh-Hans-SG;{E0831C90-BAB0-4ca5-B9BD-EA254B538DAC}/MsWb70804.dll;;;;;1;4100;
zh-Hant;{E9B1DF65-08F1-438b-8277-EF462B23A792}/MsWb70404.dll;;;;;1;31748;zh-TW
zh-Hant-HK;{E9B1DF65-08F1-438b-8277-EF462B23A792}/MsWb70404.dll;;1;;;1;3076;
zh-Hant-MO;{E9B1DF65-08F1-438b-8277-EF462B23A792}/MsWb70404.dll;;;;;1;5124;
zu-ZA;;;1;;;;1077;zu
