blogovom: blogu,blogova
blogovu: blogu,blogova
bloz: blogu,blože
bloze: blogu,blože
bodovane: bodovni,bodovana
bodovani: bodovni,bodovana,bodovane
bodovanih: bodovni,bodovana
bodovanim: bodovni,bodovana
bodovano: bodovni,bodovana
bodovanog: bodovni,bodovana
bodovanoj: bodovni,bodovana
bodrimo: bodri,bodrim
bogatihu: bogatu,bogatih
bogatomu: bogatu,bogatom
bogoliko: bogolik,bogolike
bogomdane: bogomdan,bogomdana
bogomdani: bogomdan,bogomdana
bogomdanih: bogomdan,bogomdana
bogomdanim: bogomdan,bogomdana
bogomdano: bogomdan,bogomdana
bogomdanog: bogomdan,bogomdana
bogomdanu: bogomdan,bogomdana
bogosl: bogoslov,bogoslova,bogoslu
bogoslu: bogoslov,bogoslova
bogoslužnomu: bogoslužni,bogoslužnom
bojazno: bojazan,bojazni
bojevih: boj,bojeva
bojevim: boj,bojeva
bojevo: boj,bojeva
bojevog: boj,bojeva
bojevom: boj,bojeva
bojevu: boj,bojeva
bolel: bolelo,bolela
bolesan: bolesnih,bolesni
bolesnikovih: bolesnici,bolesnikova
bolesnikovim: bolesnici,bolesnikova
bolesnikovo: bolesnici,bolesnikova
bolesnikovog: bolesnici,bolesnikova
bolesnikovoj: bolesnici,bolesnikova
bolesnikovom: bolesnici,bolesnikova
bolesnikovu: bolesnici,bolesnikova
bolest: bolestima,bolesti
bolj: boljega,bolji
boln: bolne,bolni
boravimo: boravi,boravim
borovnic: borovnice,borovnica
bosonogih: bosonog,bosonoga
bosonogim: bosonog,bosonoga
bosonogog: bosonog,bosonoga
boži: bogove,bože
božin: bogove,bože
bracina: brakom,braci
bracine: brakom,braci
bracinih: brakom,braci
bracinu: brakom,braci
brača: brakom,brače
bračane: bračnu,bračana
bračani: bračnu,bračana
brači: brakom,brače
bračo: brakom,brače
braču: brakom,brače
brak: brakom,brakova
branijo: branili,branija
branin: branu,brane
breč: brek,breče
breča: brek,breče
brege: brezov,brezova,brezi
bregi: brezov,brezova,brezi
bregima: brezov,brezova,brezi
