?p	?cp
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	5117787
<http://www.w3.org/ns/lemon/ontolex#writtenRep>	5117805
<http://www.w3.org/ns/lemon/ontolex#phoneticRep>	696696
<http://purl.org/olia/olia.owl#hasNumber>	389502
<http://purl.org/olia/olia.owl#hasDegree>	5
<http://www.lexinfo.net/ontology/2.0/lexinfo#gender>	290904
<http://www.lexinfo.net/ontology/2.0/lexinfo#number>	222264
<http://www.lexinfo.net/ontology/2.0/lexinfo#verbFormMood>	41628
