?l	?p	?cp
en	<http://purl.org/olia/olia.owl#hasNumber>	389502
fr	<http://www.lexinfo.net/ontology/2.0/lexinfo#gender>	290904
fr	<http://www.lexinfo.net/ontology/2.0/lexinfo#number>	222264
fr	<http://www.lexinfo.net/ontology/2.0/lexinfo#verbFormMood>	41628 
